Timestamp,"Input your participant number as: P + Number (e.g. P1, P42)","1. Overall, I am satisfied with how easy it is to use this system. ",Comments,2. It was simple to use this system. ,Comments,3. I could effectively complete the tasks and scenarios using this system. ,Comments,4. I was able to complete the tasks and scenarios quickly using this system. ,Comments,5. I was able to efficiently complete the tasks and scenarios using this system.,Comments,6. I felt comfortable using this system.,Comments,7. It was easy to learn to use this system.,Comments,8. I believe I could become productive quickly using this system. ,Comments,9. The system gave error messages that clearly told me how to fix problems.,Comments,"10. Whenever I made a mistake using the system, I could recover easily and  quickly.",Comments,"11. The information (such as on-line help, on-screen messages and  other documentation) provided with this system was clear. ",Comments,12. It was easy to find the information I needed. ,Comments,13. The information provided for the system was easy to understand. ,Comments,14. The information was effective in helping me complete the tasks and  scenarios. ,Comments,15. The organization of information on the system screens was clear. ,Comments,16. The interface of this system was pleasant. ,Comments,17. I liked using the interface of this system. ,Comments,18. This system has all the functions and capabilities I expect it to have. ,Comments,"19. Overall, I am satisfied with this system. ",Comments
9/2/2022 9:25:04,P16,1,,1,,1,,1,,1,,1,,1,,1,,4,no error messages,2,,2,,2,,1,,1,,1,,1,,1,,1,,1,great system
9/5/2022 12:10:48,P18,2,,3,,2,,4,,3,,2,,1,,2,,7,,4,,3,,3,,3,,2,,3,,2,,1,,5,,3,
9/5/2022 13:07:00,P5,2,,2,,3,,3,,3,,2,,3,,2,,4,,3,,3,,3,,3,,3,,3,,2,,2,,2,,2,
9/6/2022 9:41:32,P20,2,,2,,2,,3,,2,,2,,3,,1,,3,,3,,2,,3,,2,,3,,3,,1,,1,,2,,2,
9/6/2022 11:11:25,P21,1,,2,,1,,1,,1,,1,,1,,1,,3,"I think this is true for the most part, but with respect to the missing data (not an error per se), more feedback would be welcome.",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
9/8/2022 12:52:04,P22,1,,1,,1,,2,Was unsure about the purpose of the background colouring in the plots (double vertical axes).,1,,1,,3,"I found it easy knowing the background. Construction of the event data sheet might cause new users some issues, however, I do think this application would be slightly specialized in any case. ",1,,4,A message indicating if there was missing (empty) data in the exported csv files would be useful. ,4,N/A did not feel I made mistakes.,1,,3,Found it slightly difficult to see how normalization was done. ,2,,2,,2,,1,,1,,1,,2,"Speed is a slight issue- but this is thinking more of large query datasets. A message is given to indicate this. For 6 events, the search took maybe 20-30 seconds? What if there were 600 or so events? Advice on how to run larger querys would be useful in addition to the message already given. "
9/8/2022 16:40:34,P13,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,2,,1,,1,,1,,1,,1,,1,,1,,1,
9/9/2022 9:12:55,P14,3,,3,,3,,3,,3,,3,,3,,3,,7,,2,,2,,2,,4,,3,,3,,2,,2,,4,,2,
9/9/2022 11:07:49,P23,2,,1,Made complex things like linked data easy.,2,,2,,2,,3,,2,,1,,,Not relevant.,1,,1,,1,,4,Quite information heavy,2,,1,Straightforward flow,2,,2,,2,,1,
9/12/2022 13:29:38,P19,2,"Easy to use, ""three step"" approach is manageable for the user. Only minor tweeks required to make some steps clearer.",2,,1,,1,The work flow felt very efficient.,1,,2,"I wasn't 100% sure of what all the inputs / outputs meant, but this probably reflects that environmental research is not my immediate area of interest.",2,,1,"Very impressive system overall, has huge potential.",2,Some additional errors messages might be useful (e.g. if user has omitted to do some required steps),1,,1,,1,,2,"Some sentences in the text were not immediately obvious, but I think this reflects the fact that the subject area is conceptually difficult and the interface does a good job of helping the user with the concepts.",2,,1,,1,Very nice aesthetics and pretty graphs.,1,,1,It has even more (and quite powerful) functionality than I expected.,1,"Very impressive, I would like to be able to use this to perform research some day."
9/15/2022 10:15:14,P15,1,,2,I think that for step 1 of task 1 (upload data) a change in the order of the information blocks would make the task easier and simpler.,1,,1,,1,,2,,1,,1,,1,,1,,1,,1,I think it could be useful for certain clients of the SERDIF UI to create a small summary with the most relevant data of the generated graphs. This would make it easier to read the results.,1,,1,,1,,1,I think the interface has improved a lot since the last version. It is much more pleasant to work on it.,1,,1,,1,
9/21/2022 14:11:49,P17,1,Super easy and fast!,1,,1,,1,,1,,1,,1,,1,Great platform! I would just miss to be able to retrieve through a link the exact data of each pollution and weather station used to obtain the integrated results for each event.,,No error message appeared,,,1,,1,,1,,1,,1,,1,,1,,1,,1,
9/21/2022 15:55:02,P24,2,,2,,2,,3,,2,,2,,2,,1,,1,,3,,3,,2,,2,,2,,1,,1,,1,,2,,2,
